"scientific_name","full_name","AphiaID","common_name","flag","comment","quantity","use_method_cov","run_initiated","run_completed","run_time","models","num_presence","num_absence","run_name","observation_methods","method_predict_to","mean_TSS_ensemble","mean_TSS_all_submodels","metric_select_and_weight","metric_binary","short_name","output_repo","kept_algos","n_kept_algos"
"Sparganium.emersum","Sparganium emersum",NA,NA,"green","",157,FALSE,1,1,0.709496912558873,"RF, XGBOOST, GAM",157,7775,"run3_macrophytes",NA,NA,0.942188569650451,0.7302,"TSS","TSS","Sparganium.emersum","macrophytes","RF,XGBOOST,GAM",3
"Spermatochnus.paradoxus","Spermatochnus paradoxus",145008,NA,"yellow","Low number of positive cases (presences) in model training data.",93,FALSE,1,1,0.576754773656527,"RF, XGBOOST, GAM",93,4451,"run3_macrophytes",NA,NA,0.970112359550562,0.610333333333333,"TSS","TSS","Spermatochnus.paradoxus","macrophytes","RF,XGBOOST,GAM",3
"Spermothamnion.repens","Spermothamnion repens",144702,NA,"green","",386,TRUE,1,1,0.847848828898536,"RF, XGBOOST, GAM",386,12929,"run3_macrophytes","DE,DK,EE,FI,LT,PL","DK",0.989481825212684,0.8164,"TSS","TSS","Spermothamnion.repens","macrophytes","RF,XGBOOST,GAM",3
"Sphacelaria.cirrosa","Sphacelaria cirrosa",145892,NA,"green","",441,FALSE,1,1,0.819132097760836,"RF, XGBOOST, GAM",441,16191,"run3_macrophytes",NA,NA,0.95719720366107,0.767333333333333,"TSS","TSS","Sphacelaria.cirrosa","macrophytes","RF,XGBOOST,GAM",3
"Sphaceloderma.caespitulum","Sphaceloderma caespitulum",624200,NA,"green","",388,FALSE,1,1,0.765839026967684,"RF, XGBOOST, GAM",388,18933,"run3_macrophytes",NA,NA,0.982994454713493,0.938733333333333,"TSS","TSS","Sphaceloderma.caespitulum","macrophytes","RF,XGBOOST,GAM",3
"Sphaerotrichia.divaricata","Sphaerotrichia divaricata",144931,NA,"green","",183,FALSE,1,1,0.541145349144936,"RF, XGBOOST, GAM",183,8745,"run3_macrophytes",NA,NA,0.98399085191538,0.904133333333333,"TSS","TSS","Sphaerotrichia.divaricata","macrophytes","RF,XGBOOST,GAM",3
"Spongomorpha.aeruginosa","Spongomorpha aeruginosa",144413,NA,"yellow","Low number of positive cases (presences) in model training data.",146,TRUE,1,1,0.782620469397969,"RF, XGBOOST, GAM",146,6541,"run3_macrophytes","DE,DK,EE,FI,LT,PL,SE","SE",0.811198987662132,0.453533333333333,"TSS","TSS","Spongomorpha.aeruginosa","macrophytes","XGBOOST,GAM",2
"Spongonema.tomentosum","Spongonema tomentosum",145459,NA,"yellow","Swedish west coast potentially underpredicted. Low number of positive cases (presences) in model training data.",84,TRUE,1,1,0.664796593851513,"RF, XGBOOST, GAM",84,4160,"run3_macrophytes","DE,DK,EE,FI,PL,SE","DK",0.995913461538461,0.8402,"TSS","TSS","Spongonema.tomentosum","macrophytes","RF,XGBOOST,GAM",3
"Stictyosiphon.tortilis","Stictyosiphon tortilis",145355,NA,"green","",2493,TRUE,1,1,1.89604910108778,"RF, XGBOOST, GAM",2493,27226,"run3_macrophytes","DE,DK,EE,FI,LT,PL,SE","SE",0.848312676776878,0.641,"TSS","TSS","Stictyosiphon.tortilis","macrophytes","RF,XGBOOST,GAM",3
"Stuckenia.pectinata","Stuckenia pectinata",588573,NA,"green","",6775,FALSE,1,1,1.14645671751764,"RF, XGBOOST, GAM",6775,10507,"run3_macrophytes",NA,NA,0.73424617692155,0.560333333333333,"TSS","TSS","Stuckenia.pectinata","macrophytes","RF,XGBOOST,GAM",3
"Stuckenia.vaginata","Stuckenia vaginata",NA,NA,"yellow","Low number of positive cases (presences) in model training data.",120,FALSE,1,1,0.601020604968071,"RF, XGBOOST, GAM",120,5947,"run3_macrophytes",NA,NA,0.976191477432016,0.7524,"TSS","TSS","Stuckenia.vaginata","macrophytes","RF,XGBOOST,GAM",3
"Subularia.aquatica","Subularia aquatica",NA,NA,"green","",717,FALSE,1,1,0.753188546432389,"RF, XGBOOST, GAM",717,16061,"run3_macrophytes",NA,NA,0.819853434236996,0.6106,"TSS","TSS","Subularia.aquatica","macrophytes","XGBOOST,GAM,RF",3
"Triglochin.maritima","Triglochin maritima",426006,"sea arrowgrass","green","",446,FALSE,1,1,1.18640457689762,"RF, XGBOOST, GAM",446,21845,"run3_macrophytes",NA,NA,0.880901962498811,0.5248,"TSS","TSS","Triglochin.maritima","macrophytes","RF,XGBOOST,GAM",3
"Typha.angustifolia","Typha angustifolia",NA,NA,"green","",246,FALSE,1,1,0.895332129730119,"RF, XGBOOST, GAM",246,12200,"run3_macrophytes",NA,NA,0.927756774841084,0.727333333333333,"TSS","TSS","Typha.angustifolia","macrophytes","RF,XGBOOST,GAM",3
"Typha.latifolia","Typha latifolia",NA,NA,"green","",364,FALSE,1,1,1.04554095056322,"RF, XGBOOST, GAM",364,17914,"run3_macrophytes",NA,NA,0.894595865559969,0.679866666666667,"TSS","TSS","Typha.latifolia","macrophytes","RF,XGBOOST,GAM",3
